Date,HW,SW,WKLD,Trace,ALGO.,OP_BLK (%),GC_TR (%),PLN_PER_CHK,USER_RATE(%),BLK_MANAGE,WL_TH,DBG_ERASE_CNT_SCALE,Read Vol. (MB),Write Vol. (MB),Copy Vol. (MB),Read Avg. (KB),Write Avg. (KB),Read Lat. (us),Write Lat. (us),Erase Lat. (us),Free VB Total,Data VB Total,Erase (Chunk) Total,Erase (Chunk) perPu,Erase (Chunk) Cnt. Avg.,Erase (Chunk) Std.Dev,RBER (Chunk) Std.Dev.,RBER (Chunk) Avg.,RBEC (Chunk) Std.Dev.,RBEC (Chunk) Avg.,Data Chunk Total Rate (%).,Data Chunk Total Rate in pu(%).,Data Chunk Rate (%).
2021-4-18-18-54-2,HW_PL4_MLC_OP0,SW_WL_PL4_BAD0_ST,WKD_USR60_SEQ,prn_0,Static,0,18,4,60,1,4,10,0,540482,0,-1.000000,32.000000,-1.000000,10858814569.331707,10871147128.243408,409,614,539868,539869,527.215820,34.304378,0.000457,0.001944,14.958898,63.712948,59.960938,0.599609,59.960938
2021-4-18-18-54-6,HW_PL4_MLC_OP0,SW_WL_PL4_BAD8_ST,WKD_USR60_SEQ,prn_0,Static,0,18,4,60,1,4,10,0,562310,0,-1.000000,32.000000,-1.000000,11297736817.848156,11310064551.630262,327,614,561696,561697,548.532227,34.614435,0.000511,0.002161,16.747386,70.818699,60.058594,0.600586,60.058594
2021-4-18-18-54-8,HW_PL4_MLC_OP0,SW_WL_PL4_BAD0_DY,WKD_USR60_SEQ,prn_0,Dynamic,0,18,4,60,1,4,10,0,561280,0,-1.000000,32.000000,-1.000000,11277025587.083458,11289353311.599234,408,614,560666,560667,547.526367,57.176615,0.000071,0.002048,2.310912,67.098374,60.058594,0.600586,60.058594
2021-4-18-18-54-10,HW_PL4_MLC_OP0,SW_WL_PL4_BAD8_DY,WKD_USR60_SEQ,prn_0,Dynamic,0,18,4,60,1,4,10,0,613352,0,-1.000000,32.000000,-1.000000,12324083909.019064,12336417087.403921,330,614,612738,612739,598.377930,59.761658,0.000088,0.002645,2.894231,86.660016,59.960938,0.599609,59.960938
2021-4-18-18-54-52,HW_PL4_MLC_OP0,SW_WL_PL4_BAD0_ST,WKD_USR60_SEQ,prn_1,Static,0,18,4,60,1,4,10,0,540482,0,-1.000000,32.000000,-1.000000,10858814569.331707,10871147128.243408,409,614,539868,539869,527.215820,34.304378,0.000457,0.001944,14.958898,63.712948,59.960938,0.599609,59.960938
2021-4-18-18-54-58,HW_PL4_MLC_OP0,SW_WL_PL4_BAD8_ST,WKD_USR60_SEQ,prn_1,Static,0,18,4,60,1,4,10,0,562310,0,-1.000000,32.000000,-1.000000,11297736817.848156,11310064551.630262,327,614,561696,561697,548.532227,34.614435,0.000511,0.002161,16.747386,70.818699,60.058594,0.600586,60.058594
2021-4-18-18-55-42,HW_PL4_MLC_OP0,SW_WL_PL4_BAD0_ST,WKD_USR60_SEQ,proj_0,Static,0,18,4,60,1,4,10,0,540482,0,-1.000000,32.000000,-1.000000,10858814569.331707,10871147128.243408,409,614,539868,539869,527.215820,34.304378,0.000457,0.001944,14.958898,63.712948,59.960938,0.599609,59.960938
2021-4-18-18-55-25,HW_PL4_MLC_OP0,SW_WL_PL4_BAD0_DY,WKD_USR60_SEQ,prn_1,Dynamic,0,18,4,60,1,4,10,0,561280,0,-1.000000,32.000000,-1.000000,11277025587.083458,11289353311.599234,408,614,560666,560667,547.526367,57.176615,0.000071,0.002048,2.310912,67.098374,60.058594,0.600586,60.058594
2021-4-18-18-55-54,HW_PL4_MLC_OP0,SW_WL_PL4_BAD8_ST,WKD_USR60_SEQ,proj_0,Static,0,18,4,60,1,4,10,0,562310,0,-1.000000,32.000000,-1.000000,11297736817.848156,11310064551.630262,327,614,561696,561697,548.532227,34.614435,0.000511,0.002161,16.747386,70.818699,60.058594,0.600586,60.058594
2021-4-18-18-55-40,HW_PL4_MLC_OP0,SW_WL_PL4_BAD8_DY,WKD_USR60_SEQ,prn_1,Dynamic,0,18,4,60,1,4,10,0,613352,0,-1.000000,32.000000,-1.000000,12324083909.019064,12336417087.403921,330,614,612738,612739,598.377930,59.761658,0.000088,0.002645,2.894231,86.660016,59.960938,0.599609,59.960938
