Date,HW,SW,WKLD,Trace,ALGO.,OP_BLK (%),GC_TR (%),PLN_PER_CHK,USER_RATE(%),BLK_MANAGE,WL_TH,DBG_ERASE_CNT_SCALE,Read Vol. (MB),Write Vol. (MB),Copy Vol. (MB),Read Avg. (KB),Write Avg. (KB),Read Lat. (us),Write Lat. (us),Erase Lat. (us),Free VB Total,Data VB Total,Erase (Chunk) Total,Erase (Chunk) perPu,Erase (Chunk) Cnt. Avg.,Erase (Chunk) Std.Dev,RBER (Chunk) Std.Dev.,RBER (Chunk) Avg.,RBEC (Chunk) Std.Dev.,RBEC (Chunk) Avg.,Data Chunk Total Rate (%).,Data Chunk Total Rate in pu(%).,Data Chunk Rate (%).
2021-4-18-18-44-54,HW_MULTI_PL2_MLC_OP0,SW_WL_PL2_GC2_ST,WKD_USR20_SEQ,SEQ,Static,0,2,2,20,1,4,10,0,2193764,0,-1.000000,32.000000,-1.000000,10709810971.902258,10713744960.817127,6558,1631,4385897,548660_548660_548660_548660_548350_547636_547636_547636,4283.103516,3747.985651,0.000329,0.001999,10.791973,65.505821,19.921875,0.199219_0.199219_0.199219_0.199219_0.199219_0.199219_0.199219_0.199219,19.921875
2021-4-18-18-48-59,HW_MULTI_PL4_MLC_OP0,SW_WL_PL4_GC2_ST,WKD_USR20_SEQ,SEQ,Static,0,2,4,20,1,4,10,0,2151519,0,-1.000000,32.000000,-1.000000,10503415379.167931,10507387278.538874,3278,816,2150703,538420_537492_537396_537396,2100.296875,1575.588681,0.000454,0.001924,14.881829,63.044064,19.946289,0.199219_0.200195_0.199219_0.199219,19.946289
2021-4-18-18-44-54,HW_MULTI_PL2_MLC_OP0,SW_WL_PL2_GC2_DY,WKD_USR20_SEQ,SEQ,Dynamic,0,2,2,20,1,4,10,0,2207962,0,-1.000000,32.000000,-1.000000,10779134912.866503,10783068903.942581,6558,1631,4414294,552171_551732_551732_551732_551732_551732_551732_551732,4310.834961,3772.822380,0.000021,0.001960,0.679534,64.235294,19.921875,0.199219_0.199219_0.199219_0.199219_0.199219_0.199219_0.199219_0.199219,19.921875
2021-4-18-18-51-37,HW_MULTI_PL8_MLC_OP0,SW_WL_PL8_GC2_ST,WKD_USR20_SEQ,SEQ,Static,0,2,8,20,1,4,10,0,2084091,0,-1.000000,32.000000,-1.000000,10173951595.859537,10177940090.445274,1638,408,1041637,521012_520626,1017.224609,509.311574,0.000486,0.001768,15.935887,57.939338,19.921875,0.199219_0.199219,19.921875
2021-4-18-18-53-28,HW_MULTI_PL16_MLC_OP0,SW_WL_PL16_GC2_ST,WKD_USR20_SEQ,SEQ,Static,0,2,16,20,1,4,10,0,2043451,0,-1.000000,32.000000,-1.000000,9975108370.867697,9979095617.232121,818,204,510658,510659,498.690430,22.030715,0.000483,0.001702,15.838025,55.786458,19.921875,0.199219,19.921875
2021-4-18-18-54-56,HW_MULTI_PL2_MLC_OP0,SW_WL_PL2_GC2_ST,WKD_USR40_SEQ,SEQ,Static,0,2,2,40,1,4,10,0,2138596,0,-1.000000,32.000000,-1.000000,10437345104.202827,10445289580.988115,4918,3271,4273921,535089_534119_534119_534119_534119_534119_534119_534119,4173.751953,3652.307514,0.000304,0.001870,9.957213,61.266198,39.941406,0.399414_0.399414_0.399414_0.399414_0.399414_0.399414_0.399414_0.399414,39.941406
2021-4-18-18-53-24,HW_MULTI_PL4_MLC_OP0,SW_WL_PL4_GC2_DY,WKD_USR20_SEQ,SEQ,Dynamic,0,2,4,20,1,4,10,0,2007980,0,-1.000000,32.000000,-1.000000,9802510512.375488,9806486041.374413,3279,816,2007164,502497_501556_501556_501556,1960.122070,1472.167903,0.000022,0.001533,0.719910,50.236213,19.921875,0.199219_0.199219_0.199219_0.199219,19.921875
2021-4-18-18-58-38,HW_MULTI_PL4_MLC_OP0,SW_WL_PL4_GC2_ST,WKD_USR40_SEQ,SEQ,Static,0,2,4,40,1,4,10,0,2149389,0,-1.000000,32.000000,-1.000000,10489940324.841999,10497915900.466179,2458,1636,2147753,537191_537191_537191_536181,2097.416016,1573.421841,0.000455,0.001914,14.904523,62.725260,39.965820,0.399414_0.399414_0.399414_0.400391,39.965820
2021-4-18-19-1-7,HW_MULTI_PL8_MLC_OP0,SW_WL_PL8_GC2_ST,WKD_USR40_SEQ,SEQ,Static,0,2,8,40,1,4,10,0,2030035,0,-1.000000,32.000000,-1.000000,9906928863.851433,9914918427.392841,1228,818,1014199,507495_506705,990.429688,495.929207,0.000455,0.001656,14.923550,54.257937,39.990234,0.399414_0.400391,39.990234
2021-4-18-20-44-34,HW_SM_MULTI_PL4_MLC_OP0,SW_WL_PL4_GC2_ST,WKD_USR60_SEQ,SEQ,Static,0,2,4,60,1,4,10,0,136252,0,-1.000000,32.000000,-1.000000,2737473831.936681,2740535469.296321,101,153,136099,136100,531.640625,31.574128,0.000484,0.001991,15.868551,65.238636,60.156250,0.601563,60.156250
