Date,HW,SW,WKLD,Trace,ALGO.,OP_BLK (%),GC_TR (%),PLN_PER_CHK,USER_RATE(%),BLK_MANAGE,WL_TH,DBG_ERASE_CNT_SCALE,Read Vol. (MB),Write Vol. (MB),Copy Vol. (MB),Read Avg. (KB),Write Avg. (KB),Read Lat. (us),Write Lat. (us),Erase Lat. (us),Free VB Total,Data VB Total,Erase (Chunk) Total,Erase (Chunk) perPu,Erase (Chunk) Cnt. Avg.,Erase (Chunk) Std.Dev,RBER (Chunk) Std.Dev.,RBER (Chunk) Avg.,RBEC (Chunk) Std.Dev.,RBEC (Chunk) Avg.,Data Chunk Total Rate (%).,Data Chunk Total Rate in pu(%).,Data Chunk Rate (%).
2021-4-18-14-17-46,HW_MULTI_PL2_SLC_OP0,SW_WL_PL2_GC2_ST,WKD_USR20_SEQ,SEQ,Static,0,2,2,20,1,4,100,0,4380115,0,-1.000000,32.000000,-1.000000,8950936552.682652,8977724687.610067,13110,3272,1091756,136807_136807_136807_136807_136807_136807_136156_134759,533.084473,466.454432,0.000140,0.002353,4.592145,77.094896,19.970703,0.199707_0.199707_0.199707_0.199707_0.199707_0.199707_0.199707_0.199707,19.970703
2021-4-18-14-17-44,HW_MULTI_PL2_SLC_OP0,SW_WL_PL2_GC2_DY,WKD_USR20_SEQ,SEQ,Dynamic,0,2,2,20,1,4,100,0,4332147,0,-1.000000,32.000000,-1.000000,8852899499.720695,8879687458.846592,13110,3272,1079764,136452_134759_134759_134759_134759_134759_134759_134759,527.229004,461.368590,0.000056,0.002270,1.838478,74.383099,19.970703,0.199707_0.199707_0.199707_0.199707_0.199707_0.199707_0.199707_0.199707,19.970703
2021-4-18-14-26-34,HW_MULTI_PL4_SLC_OP0,SW_WL_PL4_GC2_ST,WKD_USR20_SEQ,SEQ,Static,0,2,4,20,1,4,100,0,4306911,0,-1.000000,32.000000,-1.000000,8799986134.366251,8826778336.530460,6554,1635,536727,134759_134759_134499_132711,262.074219,196.564520,0.000193,0.002255,6.320282,73.896852,19.970703,0.199707_0.199707_0.199707_0.199707,19.970703
2021-4-18-14-33-41,HW_MULTI_PL8_SLC_OP0,SW_WL_PL8_GC2_ST,WKD_USR20_SEQ,SEQ,Static,0,2,8,20,1,4,100,0,4321375,0,-1.000000,32.000000,-1.000000,8826030715.284195,8852804518.741562,3276,818,269267,134759_134509,131.478516,65.756869,0.000220,0.002268,7.221681,74.318765,19.970703,0.199707_0.199707,19.970703
2021-4-18-14-30-40,HW_MULTI_PL4_SLC_OP0,SW_WL_PL4_GC2_DY,WKD_USR20_SEQ,SEQ,Dynamic,0,2,4,20,1,4,100,0,4389271,0,-1.000000,32.000000,-1.000000,8967844821.248859,8994635793.894285,6554,1635,547022,136807_136807_136807_136602,267.101074,200.409126,0.000088,0.002348,2.890895,76.950031,19.970703,0.199707_0.199707_0.199707_0.199707,19.970703
2021-4-18-14-38-1,HW_MULTI_PL16_SLC_OP0,SW_WL_PL16_GC2_ST,WKD_USR20_SEQ,SEQ,Static,0,2,16,20,1,4,100,0,4226111,0,-1.000000,32.000000,-1.000000,8625171556.488571,8651898117.884668,1637,409,131656,131657,64.285645,1.311364,0.000223,0.002160,7.309878,70.778270,19.970703,0.199707,19.970703
2021-4-18-14-39-50,HW_MULTI_PL8_SLC_OP0,SW_WL_PL8_GC2_DY,WKD_USR20_SEQ,SEQ,Dynamic,0,2,8,20,1,4,100,0,4392527,0,-1.000000,32.000000,-1.000000,8971347723.920816,8998119844.763922,3276,818,273714,136908_136807,133.649902,67.038973,0.000101,0.002352,3.312374,77.069750,19.995117,0.200195_0.199707,19.995117
2021-4-18-14-41-44,HW_MULTI_PL2_SLC_OP0,SW_WL_PL2_GC2_ST,WKD_USR40_SEQ,SEQ,Static,0,2,2,40,1,4,100,0,4382407,0,-1.000000,32.000000,-1.000000,8949494530.134491,9003065017.872833,9830,6552,1089049,136397_136397_136397_136397_136397_136397_136319_134349,531.762695,465.297727,0.000141,0.002335,4.607677,76.512286,39.990234,0.399902_0.399902_0.399902_0.399902_0.399902_0.399902_0.399902_0.399902,39.990234
2021-4-18-14-47-9,HW_MULTI_PL16_SLC_OP0,SW_WL_PL16_GC2_DY,WKD_USR20_SEQ,SEQ,Dynamic,0,2,16,20,1,4,100,0,4407199,0,-1.000000,32.000000,-1.000000,8995020768.984795,9021747723.891724,1637,409,137315,137316,67.048828,4.983328,0.000113,0.002379,3.707056,77.942696,19.970703,0.199707,19.970703
2021-4-18-14-50-29,HW_MULTI_PL4_SLC_OP0,SW_WL_PL4_GC2_ST,WKD_USR40_SEQ,SEQ,Static,0,2,4,40,1,4,100,0,4323111,0,-1.000000,32.000000,-1.000000,8826601824.613041,8880172649.071301,4914,3275,537112,134349_134349_134349_134066,262.262207,196.704846,0.000197,0.002258,6.442242,73.987637,39.990234,0.399902_0.399902_0.399902_0.399902,39.990234
